id;name;gob_id;latitude;longitude
1;Fish;36646;program alarm;Nevada
2;Berkshire;63633;Ergonomic;Strategist target
3;Investor users dot-com;64510;Libyan Dinar CSS;sensor
4;Alaska;76855;Intelligent Frozen Sausages Villages;Human
5;back up Factors;33075;Venezuela Wisconsin;SDD disintermediate reinvent
6;eco-centric Bedfordshire mesh;39469;calculating Intranet Ergonomic Concrete Soap;Director Concrete Bedfordshire
7;portal calculating Metal;70891;France protocol;open-source HDD
8;Sleek Beauty Auto Loan Account;19427;Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate
9;interfaces;67202;implementation;Wallis and Futuna
10;generating;86040;Assimilated;compressing
