id;name;from_date;end_date;end_inscription_date;status;create_date;updated_date
1;Multi-channelled;2019-10-22;2019-10-22;2019-10-22;DONE;2019-10-22T04:51:28;2019-10-22T08:11:27
2;global;2019-10-22;2019-10-22;2019-10-22;DONE;2019-10-22T10:32:31;2019-10-22T15:38:21
3;connecting Planner Refined;2019-10-22;2019-10-22;2019-10-22;CREATED;2019-10-22T12:55:58;2019-10-22T04:54:09
4;Credit Card Account transmitter cyan;2019-10-22;2019-10-22;2019-10-22;DONE;2019-10-22T12:31:35;2019-10-22T20:50:30
5;array Luxembourg Spurs;2019-10-22;2019-10-22;2019-10-22;CREATED;2019-10-22T03:54:38;2019-10-22T19:29:45
6;Configuration Buckinghamshire;2019-10-22;2019-10-22;2019-10-22;IN_PROGRESS;2019-10-22T11:12:10;2019-10-22T14:41:16
7;orchid;2019-10-22;2019-10-22;2019-10-22;IN_PROGRESS;2019-10-22T11:58:58;2019-10-22T19:57:09
8;Shirt Metal;2019-10-22;2019-10-22;2019-10-22;DONE;2019-10-22T07:00:16;2019-10-21T23:40:16
9;Savings Account;2019-10-22;2019-10-22;2019-10-22;CREATED;2019-10-22T14:40:58;2019-10-22T18:46:39
10;Awesome;2019-10-22;2019-10-22;2019-10-22;DONE;2019-10-22T10:56:37;2019-10-22T15:06:12
