id;name;full_name;gob_id;latitude;longitude
1;Brand;neutral Salad;92969;virtual deposit;Squares mint green e-business
2;Ghana back-end National;Direct;27213;withdrawal;copying
3;ability Hat Iraq;magenta Concrete;33761;Directives;sky blue
4;Kenyan Shilling robust;Versatile Exclusive Moroccan Dirham;71227;Plastic;Computers Personal Loan Account Berkshire
5;Home;Investor Public-key;14489;Berkshire Designer;Credit Card Account
6;navigate;Re-contextualized;80313;Point Orchestrator;Solomon Islands Licensed
7;Gloves Bedfordshire Argentine Peso;Kentucky Algerian Dinar Clothing;51209;Future-proofed deposit Sausages;disintermediate Cambridgeshire hacking
8;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;98216;Borders content-based;Tasty Customer Human
9;pink even-keeled;bus Internal AI;77987;invoice Unbranded Cheese;New Zealand Dollar Alabama transform
10;invoice Home Gloves;Buckinghamshire Ports;99445;Fish;Networked
