id;name;full_name;iso_id;gob_id
1;Multi-channelled Licensed;grey Cambridgeshire;Canyon HDD;68030
2;Centers;Factors;South Dakota envisioneer Music;23089
3;Monitored Bahamian Dollar Investment Account;Games Regional Digitized;copy convergence;20794
4;Georgia Industrial;connect Markets Chief;capacitor archive;57044
5;Aruba;software scale interactive;Louisiana Specialist Home Loan Account;27599
6;scalable;Small;deliverables reinvent 24 hour;1407
7;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;generating Highway Ergonomic;37081
8;Lempira;pixel withdrawal;Mississippi embrace Developer;84891
9;hard drive Robust Networked;Poland;Small partnerships;20171
10;Dynamic;knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;20306
