id;active;profile;create_date;updated_date
1;true;PLAYER;2019-10-15T20:19:50;2019-10-15T03:13:22
2;true;PLAYER;2019-10-15T10:52:13;2019-10-15T17:51:54
3;true;STAFF;2019-10-15T04:03:15;2019-10-15T04:24:56
4;false;STAFF;2019-10-15T10:25:30;2019-10-15T02:35:53
5;true;PLAYER;2019-10-15T12:28:09;2019-10-15T09:13:58
6;false;PLAYER;2019-10-15T19:56:30;2019-10-15T17:21:54
7;false;STAFF;2019-10-15T01:21:59;2019-10-15T15:50:49
8;false;STAFF;2019-10-15T07:23:51;2019-10-15T10:57:30
9;false;STAFF;2019-10-15T21:16:26;2019-10-15T10:28:51
10;true;PLAYER;2019-10-15T09:02:00;2019-10-15T15:53:02
