id;name;close_inscr_days;status;create_date;updated_date
1;Glen Refined;52837;IN_PROGRESS;2019-10-22T03:46:31;2019-10-22T22:44:02
2;Designer Incredible Fresh Car Tuvalu;99296;CREATED;2019-10-22T07:55:13;2019-10-22T17:49:20
3;heuristic Orchestrator Naira;38420;IN_PROGRESS;2019-10-22T21:38:13;2019-10-22T01:39:34
4;Court Money Market Account;27738;CREATED;2019-10-22T11:53:49;2019-10-22T13:42:26
5;Persevering analyzing;36034;DONE;2019-10-22T16:18:41;2019-10-22T15:35:49
6;multi-byte Pound Sterling;16261;CREATED;2019-10-22T03:17:06;2019-10-22T00:27:11
7;models New Mexico District;8274;CREATED;2019-10-22T13:09:20;2019-10-22T13:59:26
8;online Strategist Shirt;59413;DONE;2019-10-22T02:54:21;2019-10-22T21:30:05
9;Grocery Plastic;1367;IN_PROGRESS;2019-10-22T06:25:29;2019-10-22T03:30:58
10;Producer Agent;55543;IN_PROGRESS;2019-10-22T02:38:03;2019-10-22T13:57:26
